,faceoffWinPctRS,gamesPlayedRS,goalsAgainstRS,goalsAgainstPerGameRS,goalsForRS,goalsForPerGameRS,lossesRS,otLossesRS,penaltyKillNetPctRS,penaltyKillPctRS,pointPctRS,pointsRS,powerPlayNetPctRS,powerPlayPctRS,regulationAndOtWinsRS,seasonId,shotsAgainstPerGameRS,shotsForPerGameRS,teamFullName,teamId,tiesRS,winsRS,winsInRegulationRS,winsInShootoutRS,last3PlayoffScore,last5PlayoffScore,winRateAgainst500Teams
0,0.538046,73,215,2.9452,238,3.26027,25,4,0.812206,0.784038,0.63013,92,0.23,0.265,43,20242025,29.32876,28.28767,Toronto Maple Leafs,10,,44,35,1,0.6875,1.0,0.1951219512195122
1,0.443474,72,225,3.125,196,2.72222,32,8,0.745283,0.731133,0.5,72,0.095959,0.121212,29,20242025,32.08333,27.68055,Anaheim Ducks,24,,32,23,3,0.0,0.0,0.13414634146341464
2,0.517369,74,225,3.04054,208,2.81081,29,12,0.825892,0.808036,0.52702,78,0.181818,0.215311,32,20242025,27.71621,28.08108,Utah Hockey Club,59,,33,25,1,0.0,0.0,0.13414634146341464
3,0.479775,72,266,3.69444,187,2.59722,43,9,0.768181,0.745455,0.34027,49,0.156862,0.196078,18,20242025,31.5,27.02777,San Jose Sharks,28,,20,14,2,0.0,0.0,0.10975609756097561
4,0.466367,74,206,2.78378,247,3.33783,26,3,0.817204,0.790323,0.62837,93,0.232227,0.255924,43,20242025,25.93243,29.72972,Colorado Avalanche,21,,45,38,2,1.5625,2.5,0.23170731707317074
5,0.517054,74,243,3.28378,193,2.6081,35,9,0.792792,0.765766,0.46621,69,0.099056,0.150943,30,20242025,28.55405,26.62162,Boston Bruins,6,,30,23,0,0.75,1.4375,0.14634146341463414
6,0.508819,73,243,3.32876,218,2.9863,30,9,0.83913,0.804348,0.52739,77,0.186915,0.214953,32,20242025,29.0,26.0,Montréal Canadiens,8,,34,25,2,0.0,1.125,0.1951219512195122
7,0.498204,75,197,2.62666,223,2.97333,29,7,0.849514,0.820389,0.56666,85,0.261083,0.280788,38,20242025,26.42666,28.4,New Jersey Devils,1,,39,35,1,0.3125,0.3125,0.15853658536585366
8,0.480465,73,260,3.56164,236,3.23287,36,6,0.790909,0.759091,0.46575,68,0.146226,0.183962,28,20242025,28.83561,27.43835,Buffalo Sabres,7,,31,25,3,0.0,0.0,0.18292682926829268
9,0.477228,72,241,3.34722,228,3.16666,30,9,0.798969,0.752578,0.52083,75,0.144578,0.186746,27,20242025,29.73611,28.97222,Columbus Blue Jackets,29,,33,23,6,0.0,0.25,0.17073170731707318
10,0.546647,73,223,3.05479,200,2.73972,31,10,0.767295,0.723271,0.50684,74,0.082417,0.126373,30,20242025,28.79452,29.30136,New York Islanders,2,,32,25,2,0.1875,1.6875,0.17073170731707318
11,0.512094,75,211,2.81333,225,3.0,28,7,0.747126,0.729886,0.58,87,0.184971,0.213872,36,20242025,27.44,26.86666,St. Louis Blues,19,,40,30,4,0.375,0.5,0.17073170731707318
12,0.537127,74,222,3.0,223,3.01351,32,7,0.887387,0.81982,0.52027,77,0.15625,0.177083,34,20242025,30.09459,28.39189,New York Rangers,3,,35,32,1,1.4375,1.4375,0.0975609756097561
13,0.504793,73,193,2.64383,262,3.58904,25,5,0.874316,0.819673,0.62328,91,0.205882,0.259803,41,20242025,28.19178,28.76712,Tampa Bay Lightning,14,,43,37,2,1.0625,3.1875,0.2073170731707317
14,0.494314,73,232,3.17808,207,2.83561,33,6,0.696428,0.684524,0.50684,74,0.259433,0.287735,31,20242025,28.52054,27.38356,Detroit Red Wings,17,,34,26,3,0.0,0.0,0.13414634146341464
15,0.524485,73,194,2.65753,238,3.26027,24,4,0.893023,0.846512,0.64383,94,0.166666,0.184684,45,20242025,24.9863,31.67123,Carolina Hurricanes,12,,45,40,0,1.3125,1.875,0.18292682926829268
16,0.502589,73,193,2.64383,265,3.63013,17,9,0.85446,0.821597,0.70547,103,0.187817,0.218274,46,20242025,27.06849,27.63013,Washington Capitals,15,,47,40,1,0.125,0.3125,0.23170731707317074
17,0.529147,75,268,3.57333,217,2.89333,34,11,0.797979,0.777778,0.47333,71,0.222772,0.242574,29,20242025,30.54666,28.18666,Pittsburgh Penguins,5,,30,20,1,0.1875,0.375,0.13414634146341464
18,0.529509,73,207,2.83561,210,2.87671,28,6,0.814285,0.771429,0.57534,84,0.228448,0.237068,38,20242025,28.58904,29.23287,Ottawa Senators,9,,39,30,1,0.0,0.0,0.17073170731707318
19,0.49175,74,172,2.32432,255,3.44594,19,4,0.818181,0.796792,0.71621,106,0.28,0.295,50,20242025,27.2027,28.02702,Winnipeg Jets,52,,51,40,1,0.125,0.4375,0.2682926829268293
20,0.490375,73,198,2.71232,228,3.12328,26,3,0.861111,0.805556,0.62328,91,0.201834,0.238532,39,20242025,26.41095,31.54794,Florida Panthers,13,,44,35,5,2.0625,2.25,0.21951219512195122
21,0.468436,74,209,2.82432,199,2.68918,28,5,0.729729,0.713514,0.58783,87,0.182795,0.204301,38,20242025,29.77027,27.09459,Minnesota Wild,30,,41,33,3,0.25,0.5,0.2073170731707317
22,0.451751,74,267,3.6081,200,2.7027,44,9,0.816831,0.806931,0.34459,51,0.209302,0.25,20,20242025,31.1081,24.44594,Chicago Blackhawks,16,,21,18,1,0.0,0.25,0.13414634146341464
23,0.518465,73,235,3.21917,184,2.52054,38,8,0.813953,0.809303,0.42465,62,0.197044,0.216748,26,20242025,28.54794,29.24657,Nashville Predators,18,,27,23,1,0.125,0.3125,0.13414634146341464
24,0.51951,73,186,2.54794,249,3.41095,21,4,0.875,0.845,0.68493,100,0.210045,0.22831,46,20242025,28.27397,28.53424,Dallas Stars,25,,48,39,2,1.4375,2.375,0.21951219512195122
25,0.501454,75,259,3.45333,210,2.8,36,9,0.789189,0.772973,0.46,69,0.111675,0.147208,25,20242025,26.61333,27.09333,Philadelphia Flyers,4,,30,19,5,0.0,0.625,0.13414634146341464
26,0.502248,72,182,2.52777,206,2.86111,23,9,0.83173,0.8125,0.61805,89,0.130177,0.159763,39,20242025,25.38888,28.0,Los Angeles Kings,26,,40,35,1,0.375,0.375,0.21951219512195122
27,0.458267,72,212,2.94444,187,2.59722,26,12,0.776699,0.747573,0.55555,80,0.182692,0.211538,31,20242025,28.84722,29.25,Calgary Flames,20,,34,26,3,0.3125,0.625,0.12195121951219512
28,0.500368,73,192,2.63013,249,3.41095,20,8,0.789115,0.755103,0.67123,98,0.28994,0.307692,44,20242025,26.46575,30.36986,Vegas Golden Knights,54,,45,42,1,1.1875,2.5625,0.23170731707317074
29,0.486848,74,239,3.22972,222,3.0,37,6,0.77647,0.764706,0.45945,68,0.172413,0.192118,30,20242025,28.66216,27.59459,Seattle Kraken,55,,31,25,1,0.4375,0.4375,0.07317073170731707
30,0.489955,74,227,3.06756,210,2.83783,27,13,0.848039,0.828432,0.54729,81,0.189054,0.22388,31,20242025,26.64864,25.58108,Vancouver Canucks,23,,34,26,3,0.4375,1.0625,0.18292682926829268
31,0.51106,73,214,2.9315,236,3.23287,26,5,0.796703,0.769231,0.60958,89,0.236559,0.252688,42,20242025,27.23287,32.12328,Edmonton Oilers,22,,42,30,0,1.8125,1.875,0.15853658536585366
